opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf
0	1	-1.71066	-1.72330	-1.70973	-1.72575	[1. 1. 1. 1. 1. 1.]	[1.      0.97856 1.      0.91    1.      0.91   ]	0.20000	0.78950	15
0	2	-1.72330	-1.73712	-1.71101	-1.75069	[1.      0.97856 1.      0.91    1.      0.91   ]	[0.85  1.    0.85  0.775 0.85  0.775]	0.30000	0.34829	30
0	3	-1.73712	-1.76180	-1.73137	-1.82767	[0.85  1.    0.85  0.775 0.85  0.775]	[1.   1.   1.   0.64 0.7  0.64]	0.30000	0.25626	45
0	4	-1.76180	-1.78106	-1.76079	-1.78437	[1.   1.   1.   0.64 0.7  0.64]	[1.    1.    0.85  0.505 0.55  0.505]	0.30000	0.81684	60
0	5	-1.78106	-1.80936	-1.78623	-1.81589	[1.    1.    0.85  0.505 0.55  0.505]	[1.     1.     1.     0.3025 0.325  0.3025]	0.45000	0.95423	75
0	6	-1.80936	-1.82758	-1.80709	-1.86724	[1.     1.     1.     0.3025 0.325  0.3025]	[1.      1.      0.6625  0.1     0.17288 0.1    ]	0.67500	0.30283	90
0	7	-1.82758	-1.82758	-1.80800	-1.83817	[1.      1.      0.6625  0.1     0.17288 0.1    ]	[1.      1.      1.      0.1     0.51038 0.1    ]	0.67500	0.00011	105
0	8	-1.82758	-1.82758	-1.82667	-1.83126	[1.      1.      1.      0.1     0.51038 0.1    ]	[1.      1.      1.      0.1     0.67913 0.1    ]	0.33750	0.00000	120
0	9	-1.82758	-1.82758	-1.82887	-1.82960	[1.      1.      1.      0.1     0.51038 0.1    ]	[1.    1.    1.    0.1   0.426 0.1  ]	0.16875	0.00000	135
0	10	-1.82758	-1.82758	-1.82792	-1.82802	[1.      1.      1.      0.1     0.51038 0.1    ]	[1.      1.      1.      0.1     0.55257 0.1    ]	0.08438	0.00000	150
0	11	-1.82758	-1.82758	-1.82787	-1.82800	[1.      1.      1.      0.1     0.51038 0.1    ]	[1.      1.      1.      0.1     0.48928 0.1    ]	0.04219	0.00000	165
